Team Name,Short Name,Full Name,Logo,Conference,League,City,State
Eastern,Eastern,Eastern,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/eastern.svg,MAC-C,NCAA MD3,,
FDU-Florham,FDU Florham,FDU Florham,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/fdu-florham.svg,MAC-F,NCAA MD3,,
Hood,Hood,Hood,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/hood.svg,MAC-C,NCAA MD3,,
King's-(PA),King's,King's,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/king's-pa.svg,MAC-F,NCAA MD3,,
Lebanon-Valley,Lebanon Valley,Lebanon Valley,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lebanon-valley.svg,MAC-C,NCAA MD3,,
Lycoming,Lycoming,Lycoming,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lycoming.svg,MAC-F,NCAA MD3,,
Messiah,Messiah,Messiah,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/messiah.svg,MAC-C,NCAA MD3,,
Misericordia,Misericordia,Misericordia,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/misericordia.svg,MAC-F,NCAA MD3,,
Stevens,Stevens,Stevens,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/stevens.svg,MAC-F,NCAA MD3,,
Stevenson,Stevenson,Stevenson,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/stevenson.svg,MAC-C,NCAA MD3,,
Widener,Widener,Widener,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/widener.svg,MAC-C,NCAA MD3,,
Wilkes,Wilkes,Wilkes,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wilkes.svg,MAC-F,NCAA MD3,,
York-(PA),York,York,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/york-pa.svg,MAC-C,NCAA MD3,,
Cornell-College,Cornell College,Cornell College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/cornell-college.svg,MLC,NCAA MD3,,
Dubuque,Dubuque,Dubuque,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/dubuque.svg,MLC,NCAA MD3,,
Lake-Forest,Lake Forest,Lake Forest,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lake-forest.svg,MLC,NCAA MD3,,
Monmouth-(IL),Monmouth (IL),Monmouth (IL),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/monmouth-il.svg,MLC,NCAA MD3,,
Northland,Northland,Northland,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/northland.svg,MLC,NCAA MD3,,
Northwestern-St.-Paul,NW St. Paul,Northwestern St. Paul,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/northwestern-st-paul.svg,MLC,NCAA MD3,,
Aurora,Aurora,Aurora,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/aurora.svg,NACC,NCAA MD3,,
Beloit,Beloit,Beloit,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/beloit.svg,NACC,NCAA MD3,,
Benedictine-(IL),Benedictine,Benedictine,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/benedictine-il.svg,NACC,NCAA MD3,,
Concordia-Chicago,Conc. Chicago,Concordia Chicago,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/concordia-chicago.svg,NACC,NCAA MD3,,
Concordia-Wisconsin,Conc. Wisconsin,Concordia Wisconsin,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/concordia-wisconsin.svg,NACC,NCAA MD3,,
Edgewood,Edgewood,Edgewood,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/edgewood.svg,NACC,NCAA MD3,,
IIT,Illinois Tech,Illinois Tech,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/iit.svg,NACC,NCAA MD3,,
Marian-(WI),Marian,Marian,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/marian-wi.svg,NACC,NCAA MD3,,
MSOE,Milwaukee,Milwaukee,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/msoe.svg,NACC,NCAA MD3,,
Denison,Denison,Denison,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/denison.svg,NCAC,NCAA MD3,,
DePauw,DePauw,DePauw,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/depauw.svg,NCAC,NCAA MD3,,
Hiram,Hiram,Hiram,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/hiram.svg,NCAC,NCAA MD3,,
Kenyon,Kenyon,Kenyon,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/kenyon.svg,NCAC,NCAA MD3,,
Oberlin,Oberlin,Oberlin,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oberlin.svg,NCAC,NCAA MD3,,
Ohio-Wesleyan,Ohio Wesleyan,Ohio Wesleyan,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ohio-wesleyan.svg,NCAC,NCAA MD3,,
Wabash,Wabash,Wabash,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wabash.svg,NCAC,NCAA MD3,,
Wittenberg,Wittenberg,Wittenberg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wittenberg.svg,NCAC,NCAA MD3,,
Wooster,Wooster,Wooster,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wooster.svg,NCAC,NCAA MD3,,
Amherst,Amherst,Amherst,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/amherst.svg,NESCAC,NCAA MD3,,
Bates,Bates,Bates,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/bates.svg,NESCAC,NCAA MD3,,
Bowdoin,Bowdoin,Bowdoin,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/bowdoin.svg,NESCAC,NCAA MD3,,
Colby,Colby,Colby,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/colby.svg,NESCAC,NCAA MD3,,
Connecticut-Col.,Conn College,Conn College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/connecticut-col.svg,NESCAC,NCAA MD3,,
Hamilton,Hamilton,Hamilton,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/hamilton.svg,NESCAC,NCAA MD3,,
Middlebury,Middlebury,Middlebury,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/middlebury.svg,NESCAC,NCAA MD3,,
Trinity-(CT),Trinity,Trinity,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/trinity-ct.svg,NESCAC,NCAA MD3,,
Tufts,Tufts,Tufts,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/tufts.svg,NESCAC,NCAA MD3,,
Wesleyan-(CT),Wesleyan (CT),Wesleyan (CT),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wesleyan-ct.svg,NESCAC,NCAA MD3,,
Williams,Williams,Williams,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/williams.svg,NESCAC,NCAA MD3,,
Babson,Babson,Babson,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/babson.svg,NEWMAC,NCAA MD3,,
Clark-(MA),Clark (MA),Clark (MA),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/clark-ma.svg,NEWMAC,NCAA MD3,,
Coast-Guard,Coast Guard,Coast Guard,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/coast-guard.svg,NEWMAC,NCAA MD3,,
Emerson,Emerson,Emerson,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/emerson.svg,NEWMAC,NCAA MD3,,
MIT,MIT,MIT,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/mit.svg,NEWMAC,NCAA MD3,,
Springfield,Springfield,Springfield,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/springfield.svg,NEWMAC,NCAA MD3,,
Wheaton-(MA),Wheaton,Wheaton,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wheaton-ma.svg,NEWMAC,NCAA MD3,,
SUNY-Canton,Canton,Canton,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/suny-canton.svg,North Atlantic,NCAA MD3,,
Cazenovia,Cazenovia,Cazenovia,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/cazenovia.svg,North Atlantic,NCAA MD3,,
Cobleskill-St.,Cobleskill State,Cobleskill State,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/cobleskill-st.svg,North Atlantic,NCAA MD3,,
SUNY-Delhi,Delhi,Delhi,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/suny-delhi.svg,North Atlantic,NCAA MD3,,
Husson,Husson,Husson,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/husson.svg,North Atlantic,NCAA MD3,,
Maine-Maritime,Maine Maritime,Maine Maritime,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/maine-maritime.svg,North Atlantic,NCAA MD3,,
MCLA,MCLA,MCLA,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/mcla.svg,North Atlantic,NCAA MD3,,
NVU-Lyndon,NVU Lyndon,NVU Lyndon,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/nvu-lyndon.svg,North Atlantic,NCAA MD3,,
SUNY-Poly,SUNY Poly,SUNY Poly,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/suny-poly.svg,North Atlantic,NCAA MD3,,
Thomas-(ME),Thomas,Thomas,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/thomas-me.svg,North Atlantic,NCAA MD3,,
Thomas-More,Thomas More,Thomas More,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/thomas-more.svg,GMAC,NCAA MD2,Crestview Hills,KY
Thomas-More,Thomas More,Thomas More,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/thomas-more.svg,GMAC,NCAA WD2,Crestview Hills,KY
Baldwin-Wallace,Baldwin Wallace,Baldwin Wallace,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/baldwin-wallace.svg,OAC,NCAA MD3,,
Capital,Capital,Capital,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/capital.svg,OAC,NCAA MD3,,
Heidelberg,Heidelberg,Heidelberg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/heidelberg.svg,OAC,NCAA MD3,,
John-Carroll,John Carroll,John Carroll,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/john-carroll.svg,OAC,NCAA MD3,,
Marietta,Marietta,Marietta,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/marietta.svg,OAC,NCAA MD3,,
Mount-Union,Mount Union,Mount Union,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/mount-union.svg,OAC,NCAA MD3,,
Muskingum,Muskingum,Muskingum,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/muskingum.svg,OAC,NCAA MD3,,
Ohio-Northern,Ohio Northern,Ohio Northern,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ohio-northern.svg,OAC,NCAA MD3,,
Otterbein,Otterbein,Otterbein,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/otterbein.svg,OAC,NCAA MD3,,
Wilmington-(OH),Wilmington (OH),Wilmington (OH),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wilmington-oh.svg,OAC,NCAA MD3,,
Averett,Averett,Averett,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/averett.svg,ODAC,NCAA MD3,,
Bridgewater-(VA),Bridgewater,Bridgewater,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/bridgewater-va.svg,ODAC,NCAA MD3,,
Ferrum,Ferrum,Ferrum,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ferrum.svg,ODAC,NCAA MD3,,
Guilford,Guilford,Guilford,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/guilford.svg,ODAC,NCAA MD3,,
Hampden-Sydney,Hampden Sydney,Hampden Sydney,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/hampden-sydney.svg,ODAC,NCAA MD3,,
Lynchburg,Lynchburg,Lynchburg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lynchburg.svg,ODAC,NCAA MD3,,
Randolph,Randolph,Randolph,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/randolph.svg,ODAC,NCAA MD3,,
Randolph-Macon,Randolph Macon,Randolph Macon,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/randolph-macon.svg,ODAC,NCAA MD3,,
Roanoke,Roanoke,Roanoke,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/roanoke.svg,ODAC,NCAA MD3,,
Shenandoah,Shenandoah,Shenandoah,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/shenandoah.svg,ODAC,NCAA MD3,,
Va.-Wesleyan,Virginia Wesleyan,Virginia Wesleyan,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/va-wesleyan.svg,ODAC,NCAA MD3,,
Wash.-&-Lee,Wasington. & Lee,Wasington. & Lee,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wash-lee.svg,ODAC,NCAA MD3,,
Allegheny,Allegheny,Allegheny,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/allegheny.svg,PAC,NCAA MD3,,
Bethany-(WV),Bethany,Bethany,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/bethany-wv.svg,PAC,NCAA MD3,,
Chatham,Chatham,Chatham,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/chatham.svg,PAC,NCAA MD3,,
Franciscan,Franciscan,Franciscan,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/franciscan.svg,PAC,NCAA MD3,,
Grove-City,Grove City,Grove City,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/grove-city.svg,PAC,NCAA MD3,,
Saint-Vincent,Saint Vincent,Saint Vincent,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/saint-vincent.svg,PAC,NCAA MD3,,
Thiel,Thiel,Thiel,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/thiel.svg,PAC,NCAA MD3,,
Wash.-&-Jeff.,Washington & Jeff.,Washington & Jeff.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wash-jeff.svg,PAC,NCAA MD3,,
Westminster-(PA),Westminster (PA),Westminster (PA),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/westminster-pa.svg,PAC,NCAA MD3,,
Berry,Berry,Berry,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/berry.svg,SAA,NCAA MD3,,
Birmingham-So.,Birmingham So.,Birmingham So.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/birmingham-so.svg,SAA,NCAA MD3,,
Centre,Centre,Centre,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/centre.svg,SAA,NCAA MD3,,
Hendrix,Hendrix,Hendrix,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/hendrix.svg,SAA,NCAA MD3,,
Oglethorpe,Oglethorpe,Oglethorpe,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oglethorpe.svg,SAA,NCAA MD3,,
Rhodes,Rhodes,Rhodes,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/rhodes.svg,SAA,NCAA MD3,,
Sewanee,Sewanee,Sewanee,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/sewanee.svg,SAA,NCAA MD3,,
CMSV,CMSV,CMSV,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/cmsv.svg,Skyline,NCAA MD3,,
Farmingdale-St.,Farmingdale State,Farmingdale State,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/farmingdale-st.svg,Skyline,NCAA MD3,,
Manhattanville,Manhattanville,Manhattanville,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/manhattanville.svg,Skyline,NCAA MD3,,
Merchant-Marine,Merchant Marine,Merchant Marine,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/merchant-marine.svg,Skyline,NCAA MD3,,
Mt.-St.-Mary-(NY),Mount St. Mary (NY),Mount St. Mary (NY),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/mt-st-mary-ny.svg,Skyline,NCAA MD3,,
Purchase,Purchase,Purchase,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/purchase.svg,Skyline,NCAA MD3,,
St.-Joseph's-(L.I.),St. Joseph's (L.I.),St. Joseph's (L.I.),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/st-joseph's-li.svg,Skyline,NCAA MD3,,
SUNY-Maritime,SUNY Maritime,SUNY Maritime,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/suny-maritime.svg,Skyline,NCAA MD3,,
SUNY-Brockport,Brockport,Brockport,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/suny-brockport.svg,SUNYAC,NCAA MD3,,
Cortland,Cortland,Cortland,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/cortland.svg,SUNYAC,NCAA MD3,,
SUNY-Geneseo,Geneseo,Geneseo,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/suny-geneseo.svg,SUNYAC,NCAA MD3,,
SUNY-New-Paltz,New Paltz,New Paltz,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/suny-new-paltz.svg,SUNYAC,NCAA MD3,,
SUNY-Oneonta,Oneonta,Oneonta,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/suny-oneonta.svg,SUNYAC,NCAA MD3,,
Oswego-St.,Oswego St.,Oswego St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oswego-st.svg,SUNYAC,NCAA MD3,,
Plattsburgh-St.,Plattsburgh State,Plattsburgh State,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/plattsburgh-st.svg,SUNYAC,NCAA MD3,,
SUNY-Potsdam,Potsdam,Potsdam,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/suny-potsdam.svg,SUNYAC,NCAA MD3,,
Hilbert,Hilbert,Hilbert,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/hilbert.svg,United East,NCAA MD3,,
La-Roche,La Roche,La Roche,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/la-roche.svg,United East,NCAA MD3,,
SUNY-Morrisville,Morrisville,Morrisville,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/suny-morrisville.svg,United East,NCAA MD3,,
Penn-College,Penn College,Penn College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/penn-college.svg,United East,NCAA MD3,,
St.-Mary's-(MD),St. Mary's (MD),St. Mary's (MD),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/st-mary's-md.svg,United East,NCAA MD3,,
Wells,Wells,Wells,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wells.svg,United East,NCAA MD3,,
Bentley,Bentley,Bentley,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/bentley.svg,USA South,NCAA MD3,,
Greensboro,Greensboro,Greensboro,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/greensboro.svg,USA South,NCAA MD3,,
Huntingdon,Huntingdon,Huntingdon,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/huntingdon.svg,USA South,NCAA MD3,,
LaGrange,LaGrange,LaGrange,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lagrange.svg,USA South,NCAA MD3,,
Methodist,Methodist,Methodist,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/methodist.svg,USA South,NCAA MD3,,
Pfeiffer,Pfeiffer,Pfeiffer,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/pfeiffer.svg,USA South,NCAA MD3,,
Southern-Va.,Southern Virginia,Southern Virginia,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-va.svg,USA South,NCAA MD3,,
William-Peace,William Peace,William Peace,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/william-peace.svg,USA South,NCAA MD3,,
Davidson,Davidson,Davidson,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/davidson.svg,A-10,NCAA WD1,Davidson,NC
Duquesne,Duquesne,Duquesne,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/duquesne.svg,A-10,NCAA WD1,Pittsburgh,PA
George-Mason,George Mason,George Mason,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/george-mason.svg,A-10,NCAA WD1,Fairfax,VA
George-Washington,George Washington,George Washington,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/george-washington.svg,A-10,NCAA WD1,Washington,D.C.
La-Salle,La Salle,La Salle,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/la-salle.svg,A-10,NCAA WD1,Philadelphia,PA
Richmond,Richmond,Richmond,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/richmond.svg,A-10,NCAA WD1,Richmond,VA
Saint-Joseph's,Saint Joseph's,Saint Joseph's,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/saint-josephs.svg,A-10,NCAA WD1,Philadelphia,PA
St.-Bonaventure,St. Bonaventure,St. Bonaventure,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/st-bonaventure.svg,A-10,NCAA WD1,St. Bonaventure,NY
Massachusetts,UMass,UMass,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/massachusetts.svg,A-10,NCAA WD1,Amherst,MA
VCU,VCU,Virginia Commonwealth,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/vcu.svg,A-10,NCAA WD1,Richmond,VA
Boston-College,Boston College,Boston College,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/boston-college.svg,ACC,NCAA WD1,Chestnut Hill,MA
Clemson,Clemson,Clemson,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/clemson.svg,ACC,NCAA WD1,Clemson,SC
Duke,Duke,Duke,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/duke.svg,ACC,NCAA WD1,Durham,NC
Louisville,Louisville,Louisville,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/louisville.svg,ACC,NCAA WD1,Louisville,KY
North-Carolina,North Carolina,North Carolina,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/north-carolina.svg,ACC,NCAA WD1,Chapel Hill,NC
Notre-Dame,Notre Dame,Notre Dame,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/notre-dame.svg,ACC,NCAA WD1,Notre Dame,IN
Pittsburgh,Pitt,Pitt,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/pittsburgh.svg,ACC,NCAA WD1,Pittsburgh,PA
Syracuse,Syracuse,Syracuse,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/syracuse.svg,ACC,NCAA WD1,Syracuse,NY
Virginia,Virginia,Virginia,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/virginia.svg,ACC,NCAA WD1,Charlottesville,VA
Virginia-Tech,Virginia Tech,Virginia Tech,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/virginia-tech.svg,ACC,NCAA WD1,Blacksburg,VA
UAlbany,Albany,Albany,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/albany-ny.svg,America East,NCAA WD1,Albany,NY
Binghamton,Binghamton,Binghamton,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/binghamton.svg,America East,NCAA WD1,Vestal,NY
Bryant,Bryant,Bryant,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/bryant.svg,America East,NCAA WD1,Smithfield,RI
New-Hampshire,New Hampshire,New Hampshire,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/new-hampshire.svg,America East,NCAA WD1,Durham,NH
UMass-Lowell,UMass Lowell,UMass Lowell,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/umass-lowell.svg,America East,NCAA WD1,Lowell,MA
UMBC,UMBC,UMBC,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/umbc.svg,America East,NCAA WD1,Catonsville,MD
Vermont,Vermont,Vermont,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/vermont.svg,America East,NCAA WD1,Burlington,VT
Coastal-Carolina,Coastal Carolina,Coastal Carolina,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/coastal-carolina.svg,ASUN,NCAA WD1,Conway,SC
Delaware-St.,Delaware State,Delaware State,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/delaware-st.svg,ASUN,NCAA WD1,Dover,DE
Jacksonville,Jacksonville,Jacksonville,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/jacksonville.svg,ASUN,NCAA WD1,Jacksonville,FL
Kennesaw-St.,Kennesaw State,Kennesaw State,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/kennesaw-st.svg,ASUN,NCAA WD1,Kennesaw,GA
Liberty,Liberty,Liberty,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/liberty.svg,ASUN,NCAA WD1,Lynchburg,VA
Lindenwood,Lindenwood,Lindenwood,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lindenwood.svg,ASUN,NCAA WD1,St. Charles,MO
Queens-(NC),Queens,Queens,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/queens-nc.svg,ASUN,NCAA WD1,Charlotte,NC
Stetson,Stetson,Stetson,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/stetson.svg,ASUN,NCAA WD1,DeLand,FL
Butler,Butler,Butler,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/butler.svg,Big East,NCAA WD1,Indianapolis,IN
Denver,Denver,Denver,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/denver.svg,Big East,NCAA WD1,Denver,CO
Georgetown,Georgetown,Georgetown,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/georgetown.svg,Big East,NCAA WD1,Washington,D.C.
Marquette,Marquette,Marquette,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/marquette.svg,Big East,NCAA WD1,Milwaukee,WI
UConn,UConn,UConn,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/uconn.svg,Big East,NCAA WD1,Storrs,CT
Villanova,Villanova,Villanova,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/villanova.svg,Big East,NCAA WD1,Villanova,PA
Campbell,Campbell,Campbell,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/campbell.svg,Big South,NCAA WD1,Buies Creek,NC
Furman,Furman,Furman,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/furman.svg,Big South,NCAA WD1,Greenville,SC
Gardner-Webb,Gardner Webb,Gardner Webb,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/gardner-webb.svg,Big South,NCAA WD1,Boiling Springs,NC
High-Point,High Point,High Point,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/high-point.svg,Big South,NCAA WD1,High Point,NC
