Team Name,Short Name,Full Name,Logo,Conference,League,City,State
ROUGHNECKS,Roughnecks,Calgary Roughnecks,https://nllmetaserver.aordev.com/wp-content/uploads/2022/11/24_72.png,West,NLL,Calgary,AB
MAMMOTH,Mammoth,Colorado Mammoth,https://nllmetaserver.aordev.com/wp-content/uploads/2022/11/25.png,West,NLL,Denver,CO
DESERT DOGS,Desert Dogs,Las Vegas Desert Dogs,https://nllmetaserver.aordev.com/wp-content/uploads/2022/11/50_72.png,West,NLL,Paradise,NV
PANTHER CITY,Panther City,Panther City Lacrosse Club,https://nllmetaserver.aordev.com/wp-content/uploads/2022/11/48_72.png,West,NLL,Fort Worth,TX
SEALS,Seals,San Diego Seals,https://nllmetaserver.aordev.com/wp-content/uploads/2022/11/42.png,West,NLL,San Diego,CA
RUSH,Rush,Saskatchewan Rush,https://nllmetaserver.aordev.com/wp-content/uploads/2022/11/40.png,West,NLL,Saskatoon,SK
WARRIORS,Warriors,Vancouver Warriors,https://nllmetaserver.aordev.com/wp-content/uploads/2022/11/43.png,West,NLL,Vancouver,BC
High-Point,High Point,High Point,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/high-point.svg,A-10,NCAA MD1,High Point,NC
Hobart,Hobart,Hobart,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/hobart.svg,A-10,NCAA MD1,Geneva,NY
Richmond,Richmond,Richmond,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/richmond.svg,A-10,NCAA MD1,Richmond,VA
Saint-Joseph's,Saint Joseph's,Saint Joseph's,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/saint-josephs.svg,A-10,NCAA MD1,Philadelphia,PA
St.-Bonaventure,St. Bonaventure,St. Bonaventure,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/st-bonaventure.svg,A-10,NCAA MD1,St. Bonaventure,NY
Massachusetts,UMass,UMass,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/massachusetts.svg,A-10,NCAA MD1,Amherst,MA
Duke,Duke,Duke,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/duke.svg,ACC,NCAA MD1,Durham,NC
North-Carolina,North Carolina,North Carolina,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/north-carolina.svg,ACC,NCAA MD1,Chapel Hill,NC
Notre-Dame,Notre Dame,Notre Dame,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/notre-dame.svg,ACC,NCAA MD1,Notre Dame,IN
Syracuse,Syracuse,Syracuse,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/syracuse.svg,ACC,NCAA MD1,Syracuse,NY
Virginia,Virginia,Virginia,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/virginia.svg,ACC,NCAA MD1,Charlottesville,VA
UAlbany,Albany,Albany,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/albany-ny.svg,America East,NCAA MD1,Albany,NY
Binghamton,Binghamton,Binghamton,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/binghamton.svg,America East,NCAA MD1,Vestal,NY
Bryant,Bryant,Bryant,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/bryant.svg,America East,NCAA MD1,Smithfield,RI
Merrimack,Merrimack,Merrimack,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/merrimack.svg,America East,NCAA MD1,North Andover,MA
NJIT,NJIT,NJIT,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/njit.svg,America East,NCAA MD1,Newark,NJ
UMass-Lowell,UMass Lowell,UMass Lowell,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/umass-lowell.svg,America East,NCAA MD1,Lowell,MA
UMBC,UMBC,UMBC,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/umbc.svg,America East,NCAA MD1,Catonsville,MD
Vermont,Vermont,Vermont,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/vermont.svg,America East,NCAA MD1,Burlington,VT
Air-Force,Air Force,Air Force,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/air-force.svg,ASUN,NCAA MD1,Colorado Springs,CO
Bellarmine,Bellarmine,Bellarmine,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/bellarmine.svg,ASUN,NCAA MD1,Louisville,KY
Cleveland-St.,Cleveland State,Cleveland State,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/cleveland-st.svg,ASUN,NCAA MD1,Cleveland,OH
Detroit-Mercy,Detroit Mercy,Detroit Mercy,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/detroit.svg,ASUN,NCAA MD1,Detroit,MI
Jacksonville,Jacksonville,Jacksonville,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/jacksonville.svg,ASUN,NCAA MD1,Jacksonville,FL
